                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.5362,                 1.9186,                 1.5332,                0.34163,                0.43613,                0.31761,                0.14039,                 1.9841,                 2.4494,                 1.9186,             0.00052204,             0.00052204,             0.00052204
                     88,                 1.5268,                 1.8922,                 1.5206,                0.29888,                0.45703,                0.31038,                0.13513,                 1.9994,                 2.4598,                  1.944,             0.00051754,             0.00051754,             0.00051754
                     89,                 1.5161,                 1.8895,                 1.5124,                0.35757,                0.40961,                0.29301,                0.13605,                 1.9964,                 2.4727,                 1.9404,             0.00051304,             0.00051304,             0.00051304
                     90,                 1.5278,                 1.8793,                 1.5195,                0.36378,                0.38547,                0.30244,                0.13312,                 2.0116,                  2.451,                 1.9596,             0.00050854,             0.00050854,             0.00050854
                     91,                 1.5196,                 1.8738,                 1.5173,                0.33398,                0.41474,                0.31732,                0.13561,                 2.0004,                 2.4404,                 1.9434,             0.00050404,             0.00050404,             0.00050404
                     92,                 1.5031,                 1.8708,                 1.5071,                0.33868,                0.43079,                0.31366,                0.13336,                 2.0184,                 2.4492,                 1.9632,             0.00049954,             0.00049954,             0.00049954
                     93,                 1.5066,                 1.8459,                 1.5012,                0.33299,                0.43667,                0.31803,                0.13913,                 2.0012,                 2.4676,                 1.9494,             0.00049504,             0.00049504,             0.00049504
                     94,                 1.5451,                 1.9101,                 1.5339,                0.41016,                0.42017,                0.33815,                0.14617,                 2.0067,                 2.4367,                 1.9535,             0.00049054,             0.00049054,             0.00049054
                     95,                 1.5378,                 1.8716,                 1.5128,                0.36002,                0.43821,                0.31933,                0.13917,                 2.0197,                  2.449,                 1.9529,             0.00048604,             0.00048604,             0.00048604
                     96,                 1.5307,                 1.8893,                 1.5155,                0.40024,                0.39821,                 0.3204,                0.14656,                 1.9956,                 2.4432,                 1.9299,             0.00048154,             0.00048154,             0.00048154
                     97,                 1.5367,                 1.8851,                 1.5244,                 0.3816,                0.39243,                0.32039,                0.14627,                 1.9834,                 2.4174,                 1.9198,             0.00047704,             0.00047704,             0.00047704
                     98,                 1.5332,                   1.88,                 1.5169,                0.39369,                0.41156,                0.32939,                0.15458,                 1.9961,                 2.4169,                 1.9476,             0.00047254,             0.00047254,             0.00047254
                     99,                 1.5126,                 1.8332,                 1.5009,                 0.3974,                0.41525,                0.32927,                0.14331,                 2.0151,                 2.4362,                 1.9454,             0.00046804,             0.00046804,             0.00046804
                    100,                 1.5191,                 1.8642,                 1.5128,                0.38607,                0.42195,                0.33116,                0.14276,                 2.0237,                 2.4285,                 1.9599,             0.00046354,             0.00046354,             0.00046354
                    101,                 1.5126,                 1.8416,                 1.5053,                0.38381,                0.42339,                0.32016,                0.14805,                  1.995,                 2.4469,                  1.937,             0.00045904,             0.00045904,             0.00045904
                    102,                 1.5161,                  1.854,                 1.5104,                0.41055,                0.42102,                0.33343,                0.15243,                 1.9964,                 2.4189,                 1.9429,             0.00045455,             0.00045455,             0.00045455
                    103,                 1.5024,                 1.8288,                 1.4973,                0.41386,                0.41272,                0.35135,                0.15045,                  2.008,                 2.4139,                 1.9471,             0.00045005,             0.00045005,             0.00045005
                    104,                 1.5148,                 1.8435,                 1.4993,                0.34928,                 0.4183,                0.31319,                0.14189,                  1.999,                 2.4329,                 1.9373,             0.00044555,             0.00044555,             0.00044555
                    105,                 1.5138,                 1.8288,                 1.5074,                0.36119,                0.41228,                0.31898,                0.14321,                 2.0091,                 2.4362,                 1.9417,             0.00044105,             0.00044105,             0.00044105
                    106,                 1.4983,                 1.8176,                 1.4998,                0.30614,                0.41919,                0.31138,                0.13502,                 1.9991,                 2.4395,                 1.9305,             0.00043655,             0.00043655,             0.00043655
                    107,                 1.5166,                 1.8207,                 1.4983,                0.40311,                0.39472,                0.32057,                0.14132,                 2.0279,                 2.4497,                 1.9512,             0.00043205,             0.00043205,             0.00043205
                    108,                 1.4921,                 1.8073,                 1.4977,                0.37309,                0.40063,                0.30374,                0.14306,                 2.0157,                 2.4306,                 1.9557,             0.00042755,             0.00042755,             0.00042755
                    109,                 1.4864,                 1.7785,                 1.4883,                0.35826,                0.43394,                0.32903,                0.14766,                 2.0185,                 2.4032,                 1.9557,             0.00042305,             0.00042305,             0.00042305
                    110,                 1.4869,                 1.7843,                 1.4927,                0.41443,                0.40656,                0.34398,                0.15395,                 2.0177,                 2.4123,                 1.9535,             0.00041855,             0.00041855,             0.00041855
                    111,                 1.4977,                 1.7954,                 1.4947,                0.41816,                0.41113,                 0.3394,                 0.1581,                 2.0135,                 2.3903,                 1.9256,             0.00041405,             0.00041405,             0.00041405
                    112,                 1.4857,                 1.7877,                 1.4948,                 0.4298,                0.37542,                0.32739,                0.15084,                  2.011,                 2.4025,                 1.9394,             0.00040955,             0.00040955,             0.00040955
                    113,                  1.492,                 1.7661,                 1.4864,                0.38958,                0.39485,                0.31847,                0.14301,                 2.0026,                 2.4147,                 1.9347,             0.00040505,             0.00040505,             0.00040505
                    114,                 1.4827,                 1.7595,                 1.4832,                0.36705,                0.41187,                 0.3066,                 0.1437,                  2.017,                 2.4258,                 1.9501,             0.00040055,             0.00040055,             0.00040055
                    115,                 1.4892,                 1.7606,                  1.485,                0.39066,                0.41869,                0.32303,                0.14879,                 2.0065,                 2.4119,                 1.9423,             0.00039605,             0.00039605,             0.00039605
